time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2013-02-27,1.30673,1.31615,1.3041,1.31549,1.3194186666666667,1.30623,1.3248936363636366,1.3126680000000002,1.3306713204348255,1.3048564589735234,1.332226,1.3595955410264764,4.108843548538534,0.19425866543012266,-8,0.0034859347090656634,0.005632255912911166,-0.005632255912911166,0.0034999054170778976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,1.31551,1.31579,1.30531,1.30606,1.317622,1.3050886666666666,1.3224669090909091,1.310262181818182,1.329706170613852,1.3027215932145138,1.3296165,1.3565114067854862,4.045513392092566,0.06206392184426181,-10,0.0029666472053002657,0.005451815354340694,-0.005451815354340694,0.0036026996243460063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,1.30601,1.3101,1.29664,1.30178,1.314504,1.30167,1.3193676363636366,1.3067960000000003,1.3286110266682107,1.2996905471612463,1.3270965000000001,1.354502452838754,4.1302125111103525,0.03812041951336557,-10,0.003962795275279873,0.005186490357208973,-0.005186490357208973,0.0037493913057404793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,1.30121,1.30307,1.30045,1.30157,1.3098193333333332,1.3009826666666666,1.315495090909091,1.3046672727272726,1.3275505942498496,1.296227582403506,1.3252615,1.354295417596494,4.38161337916992,0.09200304400428062,-10,0.004991156149949272,0.005236752918056586,-0.005236752918056586,0.0016338205825898733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,1.30154,1.30404,1.29819,1.30347,1.307367333333333,1.2998260000000001,1.3124627272727274,1.3027167272727274,1.3266062572204436,1.2935848405180956,1.323604,1.3536231594819044,4.535972916658512,0.16464750600134345,-10,0.00470324796205579,0.004528697735374898,-0.004528697735374898,0.0006492392281317594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,1.30348,1.3075,1.3011,1.30471,1.306590666666667,1.2998799999999997,1.3107752727272728,1.30182,1.3257475804667007,1.2915365995965264,1.3220095,1.3524824004034737,4.610087961315499,0.2161494348921895,-10,0.0036221781920652285,0.0038380798398994775,-0.0038380798398994775,0.0013391345134788901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,1.30472,1.307,1.29646,1.29777,1.306224,1.2985873333333333,1.309386181818182,1.3003516363636363,1.3246504204483989,1.2888698278534754,1.31989,1.3509101721465246,4.7004177842887875,0.14345781358795354,-10,0.0036481889209849516,0.004058603130866256,-0.004058603130866256,0.0020052208927975324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,1.29777,1.31181,1.29746,1.31077,1.3080466666666666,1.2982179999999999,1.3091883636363635,1.299393090909091,1.3241060902347361,1.2892058808786369,1.318168,1.3471301191213632,4.394298620716502,0.3722814451352927,-10,0.002325540049698538,0.004112560745951899,-0.004112560745951899,0.003960628704186675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,1.31077,1.31343,1.29548,1.30042,1.3102953333333334,1.297134,1.3094658181818182,1.2984581818181817,1.323177223951021,1.2886836452942454,1.315967,1.3432503547057548,4.146510468082362,0.21508269111934092,-10,0.0006658178053270403,0.004577636943638441,-0.004577636943638441,0.005678174785341383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,1.29857,1.30034,1.29793,1.29873,1.30749,1.297198,1.3076956363636363,1.2981365454545455,1.3222185092862753,1.287352171388478,1.3141545000000001,1.3409568286115223,4.079022460680568,0.21225447938562236,-10,0.0014382877815587447,0.004351709989928065,-0.004351709989928065,0.0045874670207819435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,1.29873,1.30529,1.29837,1.30322,1.3065813333333334,1.2974260000000002,1.307035090909091,1.2979652727272726,1.3214734697064214,1.2873194134078585,1.3125065,1.3376935865921415,3.838013235308401,0.315649579675932,-10,0.0010586506409634433,0.004301094057041155,-0.004301094057041155,0.004140962576486551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-12,1.30319,1.30742,1.29913,1.30302,1.30653,1.2980893333333332,1.3069592727272727,1.2980363636363637,1.3207498042277384,1.2874794762604438,1.3109635,1.334447523739556,3.5827120647609427,0.330874383195671,-10,0.000149784115454632,0.0038069656411462427,-0.0038069656411462427,0.004860129240583211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-13,1.30301,1.30646,1.29234,1.29591,1.3061306666666668,1.2963113333333334,1.3068610909090912,1.2969852727272728,1.3197756942580232,1.2873918284631072,1.3090169999999999,1.3306421715368926,3.304032191620536,0.19695038077179305,-10,0.00019241514633916434,0.003914437276675065,-0.003914437276675065,0.005278242865293548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-14,1.29591,1.30299,1.29112,1.30118,1.3049313333333334,1.294468,1.3061981818181818,1.2957905454545453,1.319046451345944,1.2903889692801638,1.3071005000000002,1.3238120307198367,2.5570383791967704,0.32286182818152515,-10,0.0023961490040470546,0.0041244747486651745,-0.0041244747486651745,0.007984597050876285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,1.30117,1.31058,1.30023,1.30743,1.3069580000000003,1.295952,1.3069167272727273,1.2964218181818183,1.3185909042343384,1.292180148661811,1.3061085000000001,1.3200368513381893,2.132801576314548,0.547439211142551,-5,0.0037161645615078065,0.0037077932196605268,-0.0037077932196605268,0.0079847146527533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,1.29052,1.2931,1.2888,1.28907,1.3024753333333332,1.2934726666666667,1.3043381818181818,1.2949378181818183,1.3174332217153448,1.2901553594216497,1.304602,1.3190486405783504,2.2147199802468984,-0.037564422530048054,-10,0.0029550484494063056,0.003376433792093292,-0.003376433792093292,0.0036003724239696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,1.28907,1.2994,1.28817,1.29434,1.3009053333333334,1.2914213333333333,1.3031669090909093,1.2935629090909089,1.3165276051774883,1.2898735424710719,1.3033679999999999,1.3168624575289278,2.0707056685338254,0.16549229635031437,-10,0.0017853922929340627,0.0028582404229903213,-0.0028582404229903213,0.0024060174232530818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-19,1.29435,1.29694,1.28466,1.28638,1.29905,1.2889306666666664,1.3016865454545454,1.2917005454545456,1.3153453461509204,1.2883320906473443,1.3017315,1.3151309093526558,2.058705555278598,-0.07284241401869532,-10,0.0014134774884363432,0.003354901928073306,-0.003354901928073306,0.0029722981599688003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-03-20,1.28639,1.29738,1.28634,1.2939,1.2979759999999998,1.287512,1.3005565454545456,1.2903763636363639,1.3145043521842177,1.2874779220576413,1.301097,1.3147160779423586,2.093476188533002,0.23577506383102878,-10,0.0018580444689787479,0.002688903254205899,-0.002688903254205899,0.0016303340991293824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-21,1.29391,1.29551,1.28799,1.2903,1.2966526666666667,1.286962,1.2993783636363638,1.2895183636363634,1.3135551619024837,1.2861418379802676,1.3002759999999998,1.314410162019732,2.1740249023641396,0.14709616367519177,-10,0.00170075642685652,0.002374026898040116,-0.002374026898040116,0.0005481156691143907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
